pricingFile,name,rumName,balanceElementNumCode, genericSelectorResult, impactCategory,zoneResult,timeModelTagName,USAGE_TYPE,USAGE_CLASS,SERVICE_CODE,SERVICE_CLASS
../PreM_QTURC_20GB_Internet_503446_pricing.xml,   DF-Unltd Social (FB_TikTok_ IMO and IG),   TOTAL_VOLUME,458,   400020001|400020006|400020011|400020013,,,,,,,
../PreM_QTURC_20GB_Internet_503446_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_20GB_and_30_Min_550731_pricing.xml,   DF-Unlimited Social and Tik Tok (30 days),   TOTAL_VOLUME,458,   400020001|400020006|400020011,,,,,,,
../PreM_QTURC_20GB_and_30_Min_550741_pricing.xml,   DF-Unlimited Social and Tik Tok (30 days),   TOTAL_VOLUME,458,   400020001|400020006|400020011,,,,,,,
../PreM_QTURC_2GB_Internet_503450_pricing.xml,   DF-Unltd YouTube,   TOTAL_VOLUME,458,400010001,,,,,,,
../PreM_QTURC_2GB_Internet_503450_pricing.xml,   DF-Unltd Social (FB_TikTok_ IMO and IG),   TOTAL_VOLUME,458,   400020001|400020006|400020011|400020013,,,,,,,
../PreM_QTURC_2GB_Internet_503450_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_30GB_Internet_503529_pricing.xml,   DF-Unltd YouTube,   TOTAL_VOLUME,458,400010001,,,,,,,
../PreM_QTURC_30GB_Internet_503529_pricing.xml,   DF-Unltd Social (FB_TikTok_ IMO and IG),   TOTAL_VOLUME,458,   400020001|400020006|400020011|400020013,,,,,,,
../PreM_QTURC_30GB_Internet_503529_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_4GB_Internet_503531_pricing.xml,   DF-Unltd YouTube,   TOTAL_VOLUME,458,400010001,,,,,,,
../PreM_QTURC_4GB_Internet_503531_pricing.xml,   DF-Unltd Social (FB_TikTok_ IMO and IG),   TOTAL_VOLUME,458,   400020001|400020006|400020011|400020013,,,,,,,
../PreM_QTURC_4GB_Internet_503531_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_4GB_Internet_550848_pricing.xml,   DF-C_LOCAL_BASE_100_0,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_55GB_Internet_503530_pricing.xml,   DF-Unltd YouTube,   TOTAL_VOLUME,458,400010001,,,,,,,
../PreM_QTURC_55GB_Internet_503530_pricing.xml,   DF-Unltd Social (FB_TikTok_ IMO and IG),   TOTAL_VOLUME,458,   400020001|400020006|400020011|400020013,,,,,,,
../PreM_QTURC_55GB_Internet_503530_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_6GB_Internet_503445_pricing.xml,   DF-Unltd YouTube,   TOTAL_VOLUME,458,400010001,,,,,,,
../PreM_QTURC_6GB_Internet_503445_pricing.xml,   DF-Unltd Social (FB_TikTok_ IMO and IG),   TOTAL_VOLUME,458,   400020001|400020006|400020011|400020013,,,,,,,
../PreM_QTURC_6GB_Internet_503445_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Best_Club_18_500020_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Best_Club_18_500020_pricing.xml,   DF-Voice IDD USAGE,   Duration,458,,,   IDD.*,,,,      HOME|DOM_ROAM,
../PreM_QTURC_DailyRM1_100MB_500424_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Daily_1_100MB-1day_502178_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Daily_1_100MB_501042_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Daily_1_1GB_503116_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Daily_RM1.50_40MB_500051_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Daily_RM1_100MB_500425_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Daily_RM1_1GB_503115_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Daily_RM1_200MB_1-7am_500012_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Daily_RM1_20MB_500036_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Daily_RM1_Unlimited_502646_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Daily_RM1__100MB_500152_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Daily_RM1__100MB_500426_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Daily_RM1__Unlimited_502647_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Daily_RM3_150MB_500016_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Digi_Monthly_Plan50_502943_pricing.xml,   DF-Domestic Usage 1PM to 7PM,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,   1PM to 7PM,,,,
../PreM_QTURC_Digi_Monthly_Plan50_502943_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Digi_Monthly_Plan_28_502658_pricing.xml,   DF-Digi Monthly Plan 28 (SMS),   Occurrence,458,,,   SMS_.*,,      ONNET|OFFNET,,      HOME|DOM_ROAM,
../PreM_QTURC_Digi_Monthly_Plan_28_502658_pricing.xml,   DF-Domestic Usage 1PM to 7PM,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,   1PM to 7PM,,,,
../PreM_QTURC_Digi_Monthly_Plan_28_502658_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Digi_Prepaid_Abadi-3GB-30_days_503099_pricing.xml,   DF-FREE WAZE,   TOTAL_VOLUME,458,400040002,,,,,,,
../PreM_QTURC_Digi_Prepaid_Abadi-3GB-30_days_503099_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Digi_Prepaid_Abadi-5GB-30_days_503191_pricing.xml,   DF-FREE WAZE,   TOTAL_VOLUME,458,400040002,,,,,,,
../PreM_QTURC_Digi_Prepaid_Abadi-5GB-30_days_503191_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Digi_Prepaid_Monthly_25_SAC-25GB_Ultd_Calls_502947_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Digi_Prepaid_Monthly_25_SAC_25GB_Ultd_Calls_502946_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_FREE_30GB_12am-8am-mthly_300MB-7days_502499_pricing.xml,   DF-Domestic Usage 12AM to 8AM,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,   12AM TO 8AM,,,,
../PreM_QTURC_FREE_Monthly_1GB-12mths_502603_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Free_Base_Internet_0MB_500098_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Internet_Monthly_RM3_1GB_502489_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Internet_Monthly_RM5_1GB_502488_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Kaki_Social_30--300Min_7GB_FREE_Socia_l-30days_502382_pricing.xml,   DF-Local Minutes (Digi-Digi),   Duration,458,,,   VOICE_LOCAL.*,,      ONNET,,,
../PreM_QTURC_Kaki_Social_30--300Min_7GB_FREE_Socia_l-30days_502382_pricing.xml,   DF-Local Minutes (Digi-Others),   Duration,458,,,   VOICE_LOCAL.*,,      OFFNET,,,
../PreM_QTURC_Kaki_Social_30--300Min_7GB_FREE_Socia_l-30days_502382_pricing.xml,   DF-ALL USAGE INTERNET PROMO,   TOTAL_VOLUME,458,   400010001|400010006|400020001,,,,,,,
../PreM_QTURC_Kaki_Social_30--300Min_7GB_FREE_Socia_l-30days_502382_pricing.xml,   DF-KAKI SOCIAL,   TOTAL_VOLUME,458,   400020001|400020006,,,,,,,
../PreM_QTURC_Kaki_Social_30--300Min_7GB_FREE_Socia_l-30days_502382_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Kaki_Social_30--300Min_7GB_FREE_Social-30days_502365_pricing.xml,   DF-Local Minutes (Digi-Digi),   Duration,458,,,   VOICE_LOCAL.*,,      ONNET,,,
../PreM_QTURC_Kaki_Social_30--300Min_7GB_FREE_Social-30days_502365_pricing.xml,   DF-Local Minutes (Digi-Others),   Duration,458,,,   VOICE_LOCAL.*,,      OFFNET,,,
../PreM_QTURC_Kaki_Social_30--300Min_7GB_FREE_Social-30days_502365_pricing.xml,   DF-KAKI SOCIAL,   TOTAL_VOLUME,458,   400020001|400020006,,,,,,,
../PreM_QTURC_Kaki_Social_30--300Min_7GB_FREE_Social-30days_502365_pricing.xml,   DF-ALL USAGE INTERNET PROMO,   TOTAL_VOLUME,458,   400010001|400010006|400020001,,,,,,,
../PreM_QTURC_Kaki_Social_30--300Min_7GB_FREE_Social-30days_502365_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Kaki_Social_30--9GB_FREE_Social-30days_502358_pricing.xml,   DF-KAKI SOCIAL,   TOTAL_VOLUME,458,   400020001|400020006,,,,,,,
../PreM_QTURC_Kaki_Social_30--9GB_FREE_Social-30days_502358_pricing.xml,   DF-ALL USAGE INTERNET PROMO,   TOTAL_VOLUME,458,   400010001|400010006|400020001,,,,,,,
../PreM_QTURC_Kaki_Social_30--9GB_FREE_Social-30days_502358_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Kaki_Social_30--9GB_FREE_Social_-30days_502376_pricing.xml,   DF-KAKI SOCIAL,   TOTAL_VOLUME,458,   400020001|400020006,,,,,,,
../PreM_QTURC_Kaki_Social_30--9GB_FREE_Social_-30days_502376_pricing.xml,   DF-ALL USAGE INTERNET PROMO,   TOTAL_VOLUME,458,   400010001|400010006|400020001,,,,,,,
../PreM_QTURC_Kaki_Social_30--9GB_FREE_Social_-30days_502376_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_Kaki_Social_40--1000Min_8GB_FREE_Social-30days_502366_pricing.xml,   DF-Local Minutes (Digi-Digi),   Duration,458,,,   VOICE_LOCAL.*,,      ONNET,,,
../PreM_QTURC_Kaki_Social_40--1000Min_8GB_FREE_Social-30days_502366_pricing.xml,   DF-Local Minutes (Digi-Others),   Duration,458,,,   VOICE_LOCAL.*,,      OFFNET,,,
